name,epsilon,surface_area,specific_surface_area,tau_cg,tau_e2,D_rel_e2,err_pct,passed
ellipsoid_01,0.9295644760131836,70535.34375,0.0336338728666305,1.0291394398111418,1.0108852438691989,0.9195548967113645,1.773733979653207,True
ellipsoid_02,0.8820071220397949,109699.484375,0.0523087903857231,1.0522312048016278,1.023868036978173,0.8614460947945362,2.695526201278359,True
ellipsoid_03,0.8351278305053711,145749.21875,0.0694986432790756,1.085220260999746,1.0355639131337135,0.8064474050454268,4.575693032148796,True
ellipsoid_04,0.7881722450256348,174990.75,0.0834420919418335,1.1249110872450665,1.0519826414361098,0.7492255232934877,6.483040894152818,True
ellipsoid_05,0.7379312515258789,206852.515625,0.0986349657177925,1.1582153302492495,1.0740756296588794,0.6870384460359108,7.264599111485008,True
ellipsoid_06,0.7181291580200195,215170.625,0.1026013493537902,1.1818199324068883,1.0807517221814398,0.6644719071744933,8.5519128129455,True
ellipsoid_07,0.6856389045715332,215793.203125,0.1028982177376747,1.2254602746686376,1.1184714431290115,0.6130142247113656,8.730501816434296,True
ellipsoid_08,0.6569709777832031,217593.5625,0.103756695985794,1.2660823051511618,1.1358882425224717,0.5783764222475487,10.283222670357583,False
grf_p28_s03,0.2746143341064453,268835.15625,0.128190591931343,5.421749877825592,2.394872512392059,0.11466762121385476,55.828421333362414,False
grf_p28_s05,0.2739195823669433,161212.859375,0.076872281730175,6.295825266238884,6.055903496046421,0.045231827512735454,3.81080732146482,True
grf_p28_s08,0.2643275260925293,89298.90625,0.0425810366868972,3.436552489016489,3.383654378938606,0.07811894965922739,1.5392783973749713,True
grf_p28_s12,0.2589244842529297,62658.890625,0.0298780873417854,6.791792942987,6.7006695701213905,0.03864158373179398,1.3416688881792305,True
grf_p40_s03,0.3990635871887207,318153.15625,0.1517072468996048,2.838230491611597,1.3127021504107457,0.30400162524595037,53.749276026367745,False
grf_p40_s05,0.3986248970031738,189956.046875,0.0905781015753746,2.7470532529066345,2.2761110757334095,0.1751342020400866,17.143540143421863,False
grf_p40_s08,0.3973679542541504,112361.2734375,0.0535780303180217,2.289673704851159,2.2287274035081768,0.17829365476848572,2.661789809345079,True
grf_p40_s12,0.3999576568603515,80926.9921875,0.038588996976614,2.593906885660942,2.5554937789927177,0.15650895343521448,1.4808976714072144,True
grf_p55_s03,0.5498013496398926,327982.3125,0.1563941538333892,1.8020950740561408,1.1552143564226003,0.47593015667021743,35.8960371706442,False
grf_p55_s05,0.5499691963195801,193669.9375,0.0923490226268768,1.6900901982380954,1.2793328510243769,0.4298874963456252,24.303871334318696,False
grf_p55_s08,0.5478463172912598,121947.234375,0.0581489726901054,1.6238864706935745,1.5052762492585423,0.36395068185066615,7.304095672671799,True
grf_p55_s12,0.5491232872009277,79132.7421875,0.037733431905508,1.9108130447515284,1.8791892099599647,0.2922128779212321,1.6549936624320984,True
