name,epsilon,surface_area,specific_surface_area,tau_cg,tau_e2,D_rel_e2,err_pct,passed
ellipsoid_001,0.980769157409668,20425.029296875,0.0097394129261374,1.0066354039590153,1.1263310400260116,0.8707645643744472,11.89066424608583,False
ellipsoid_002,0.9768939018249512,24824.955078125,0.0118374610319733,1.0081228709336825,1.1567720017389584,0.8444999536264717,14.745140209705113,False
ellipsoid_003,0.971444606781006,30092.85546875,0.0143493916839361,1.0121801286236145,1.1286539644464062,0.8607107558050267,11.507224112488304,False
ellipsoid_004,0.9658584594726562,36907.65625,0.0175989419221878,1.014929163796289,1.2048893120020585,0.8016159242609384,18.71659175653537,False
ellipsoid_005,0.9539313316345216,45331.203125,0.0216156020760536,1.0184487125475383,1.1657616690950119,0.8182901847982911,14.464445261950038,False
ellipsoid_006,0.9573984146118164,45887.875,0.0218810439109802,1.0166983496508544,1.170376257836448,0.8180261759424773,15.115388771740252,False
ellipsoid_007,0.9474859237670898,53416.265625,0.0254708603024482,1.022190737282716,1.1378013953721091,0.8327340145836453,11.310086647499896,False
ellipsoid_008,0.9428591728210448,57867.7890625,0.0275935120880603,1.022866808653787,1.2087404671055977,0.7800344230046159,18.171833994344013,False
ellipsoid_009,0.938035011291504,63871.78125,0.0304564386606216,1.0249721021024052,1.170896890538391,0.8011252048506042,14.23695221915478,False
ellipsoid_010,0.9318413734436036,67158.703125,0.0320237651467323,1.027705190715219,1.1772129093298163,0.7915657108909026,14.547724382957444,False
ellipsoid_011,0.9277000427246094,72419.03125,0.0345320850610733,1.0314094364341384,1.2078145198181154,0.7680815452229466,17.103303223001053,False
ellipsoid_012,0.924635887145996,76838.1015625,0.0366392619907856,1.0334022738676358,1.0990874676949136,0.8412759805961666,6.356207595851596,True
ellipsoid_013,0.9181175231933594,81292.671875,0.0387633666396141,1.035930373589348,1.1619395417656142,0.7901594619959681,12.163864617625107,False
ellipsoid_014,0.9121246337890624,88527.84375,0.0422133654356002,1.038560435267267,1.2112813270412874,0.7530245975285079,16.63079835402855,False
ellipsoid_015,0.9095206260681152,89931.96875,0.0428829044103622,1.0388228281909695,1.1810649482326119,0.770085190851828,13.692625554768195,False
ellipsoid_016,0.8919577598571777,98260.296875,0.0468541607260704,1.0520940150695837,1.2157929848576265,0.7336427919606964,15.559348066172216,False
ellipsoid_017,0.8946108818054199,96578.0625,0.0460520088672637,1.0487318355422288,1.1314364102255143,0.7906859578852593,7.886150861485437,True
ellipsoid_018,0.8940916061401367,102539.21875,0.0488945096731185,1.0509791108695976,1.1970572405773108,0.7469079805314395,13.899241973215403,False
ellipsoid_019,0.884544849395752,109261.7421875,0.0521000586450099,1.0558675080763549,1.1763842623753202,0.7519182954808535,11.414003497326124,False
ellipsoid_020,0.8760256767272949,117125.796875,0.0558499321341514,1.0649865414574322,1.1964759866192611,0.7321715492197848,12.34658280112027,False
