name,epsilon,surface_area,specific_surface_area,tau_cg,tau_e2,D_rel_e2,err_pct,passed
ellipsoid_01,0.9295644760131836,70535.34375,0.0336338728666305,1.0291394398111418,1.01413474945829,0.9166084452876895,1.4579841926576358,True
ellipsoid_02,0.8820071220397949,109699.484375,0.0523087903857231,1.0522312048016278,1.0282522215658088,0.8577731256409893,2.278870188072372,True
ellipsoid_03,0.8351278305053711,145749.21875,0.0694986432790756,1.085220260999746,1.0426771825822274,0.8009457236199867,3.9202252249074476,True
ellipsoid_04,0.7881722450256348,174990.75,0.0834420919418335,1.1249110872450665,1.0634480449181851,0.7411478621753183,5.463813364788306,True
ellipsoid_05,0.7379312515258789,206852.515625,0.0986349657177925,1.1582153302492495,1.0847815384128232,0.6802579371009286,6.3402538300562155,True
ellipsoid_06,0.7181291580200195,215170.625,0.1026013493537902,1.1818199324068883,1.0936239701891837,0.6566508942701685,7.462724210285167,True
ellipsoid_07,0.6856389045715332,215793.203125,0.1028982177376747,1.2254602746686376,1.1314923962085686,0.6059597986420309,7.667966102408158,True
ellipsoid_08,0.6569709777832031,217593.5625,0.103756695985794,1.2660823051511618,1.1569026742556547,0.5678705671640831,8.6234228573688,True
grf_p28_s03,0.2746143341064453,268835.15625,0.128190591931343,5.421749877825592,3.798973131601132,0.07228646389260067,29.93086702249863,False
grf_p28_s05,0.2739195823669433,161212.859375,0.076872281730175,6.295825266238884,6.136327540310501,0.04463900933702161,2.5333887009806877,True
grf_p28_s08,0.2643275260925293,89298.90625,0.0425810366868972,3.436552489016489,3.3882581346735976,0.07801280645873603,1.4053140319329949,True
grf_p28_s12,0.2589244842529297,62658.890625,0.0298780873417854,6.791792942987,6.709991628284767,0.03858789974662263,1.2044141420226644,True
grf_p40_s03,0.3990635871887207,318153.15625,0.1517072468996048,2.838230491611597,1.535842960970744,0.25983358802288536,45.88730670359807,False
grf_p40_s05,0.3986248970031738,189956.046875,0.0905781015753746,2.7470532529066345,2.5945865537496684,0.15363715518647292,5.550190881652633,True
grf_p40_s08,0.3973679542541504,112361.2734375,0.0535780303180217,2.289673704851159,2.251677430288299,0.17647641216676066,1.6594624152059982,True
grf_p40_s12,0.3999576568603515,80926.9921875,0.038588996976614,2.593906885660942,2.562880082820324,0.1560578895366098,1.1961417355469937,True
grf_p55_s03,0.5498013496398926,327982.3125,0.1563941538333892,1.8020950740561408,1.2098288742216654,0.45444555123021285,32.86542471376981,False
grf_p55_s05,0.5499691963195801,193669.9375,0.0923490226268768,1.6900901982380954,1.494814137401133,0.3679181127332327,11.55417983256373,False
grf_p55_s08,0.5478463172912598,121947.234375,0.0581489726901054,1.6238864706935745,1.584960796069235,0.34565291371871165,2.3970687192014193,True
grf_p55_s12,0.5491232872009277,79132.7421875,0.037733431905508,1.9108130447515284,1.8874307502611571,0.29093691894388574,1.2236830052315097,True
