name,epsilon,surface_area,specific_surface_area,tau_cg,tau_e2,D_rel_e2,err_pct,passed
ellipsoid_01,0.9295644760131836,70535.34375,0.0336338728666305,1.0291394398111418,1.0083997855843334,0.9218213741234907,2.0152423883992143,True
ellipsoid_02,0.8820071220397949,109699.484375,0.0523087903857231,1.0522312048016278,1.0182251577323833,0.8662201236552141,3.231803705693701,True
ellipsoid_03,0.8351278305053711,145749.21875,0.0694986432790756,1.085220260999746,1.0292647594104434,0.8113829050007768,5.156142361160323,True
ellipsoid_04,0.7881722450256348,174990.75,0.0834420919418335,1.1249110872450665,1.043933282836988,0.7550025063706195,7.198595989163461,True
ellipsoid_05,0.7379312515258789,206852.515625,0.0986349657177925,1.1582153302492495,1.0639683808422569,0.6935650201763693,8.137256254992806,True
ellipsoid_06,0.7181291580200195,215170.625,0.1026013493537902,1.1818199324068883,1.0673233318943234,0.6728318744287716,9.688159538770154,True
ellipsoid_07,0.6856389045715332,215793.203125,0.1028982177376747,1.2254602746686376,1.0912316071663324,0.6283165737399905,10.953326703193248,False
ellipsoid_08,0.6569709777832031,217593.5625,0.103756695985794,1.2660823051511618,1.110348020552038,0.5916802350461013,12.30048662440869,False
grf_p28_s03,0.2746143341064453,268835.15625,0.128190591931343,5.421749877825592,1.190167864117937,0.2307357998696838,78.0482705595549,False
grf_p28_s05,0.2739195823669433,161212.859375,0.076872281730175,6.295825266238884,2.641320356815109,0.10370555077129462,58.04647929193515,False
grf_p28_s08,0.2643275260925293,89298.90625,0.0425810366868972,3.436552489016489,3.2034196057550957,0.08251417504520867,6.783917429066065,True
grf_p28_s12,0.2589244842529297,62658.890625,0.0298780873417854,6.791792942987,6.62009339669296,0.03911190805590059,2.528044475668702,True
grf_p40_s03,0.3990635871887207,318153.15625,0.1517072468996048,2.838230491611597,1.1349896155598471,0.35160109107419263,60.01066090600062,False
grf_p40_s05,0.3986248970031738,189956.046875,0.0905781015753746,2.7470532529066345,1.3462594124972245,0.296098131833114,50.99259866648895,False
grf_p40_s08,0.3973679542541504,112361.2734375,0.0535780303180217,2.289673704851159,1.537630339748275,0.25842879395785295,32.84500160479289,False
grf_p40_s12,0.3999576568603515,80926.9921875,0.038588996976614,2.593906885660942,2.4958616199426125,0.16024833014161569,3.7798298104038155,True
grf_p55_s03,0.5498013496398926,327982.3125,0.1563941538333892,1.8020950740561408,1.0853723583629555,0.5065555110221772,39.771637246640466,False
grf_p55_s05,0.5499691963195801,193669.9375,0.0923490226268768,1.6900901982380954,1.0845792386060154,0.5070806970511834,35.827138709124526,False
grf_p55_s08,0.5478463172912598,121947.234375,0.0581489726901054,1.6238864706935745,1.1703947085348472,0.46808680293597577,27.926321842255238,False
grf_p55_s12,0.5491232872009277,79132.7421875,0.037733431905508,1.9108130447515284,1.7380164000176317,0.3159482771252084,9.04309530482435,True
